年度,教授,副教授,助理教授,講師,助教,教授,副教授,助理教授
1996,961 ,669 ,0,193 ,264 ,48 ,11 ,0
1997,999 ,593 ,54 ,167 ,274 ,50 ,7 ,0
1998,995 ,575 ,98 ,154 ,277 ,52 ,7 ,0
1999,991 ,545 ,126 ,132 ,286 ,48 ,5 ,0
2000,1011 ,497 ,156 ,114 ,301 ,53 ,5 ,0
2001,1011 ,478 ,185 ,109 ,318 ,54 ,5 ,2 
2002,998 ,462 ,218 ,93 ,322 ,60 ,3 ,2 
2003,997 ,452 ,238 ,85 ,338 ,58 ,9 ,3 
2004,997 ,443 ,283 ,79 ,321 ,63 ,13 ,3 
2005,1002 ,455 ,294 ,67 ,306 ,60 ,11 ,4 
2006,1020 ,450 ,330 ,69 ,307 ,60 ,14 ,4 
2007,1027 ,459 ,352 ,63 ,282 ,64 ,17 ,6 
2008,1024 ,470 ,365 ,65 ,266 ,68 ,17 ,6 
2009,1051 ,472 ,382 ,62 ,258 ,67 ,21 ,8 
2010,1075 ,466 ,377 ,54 ,248 ,74 ,26 ,13 
2011,1089 ,481 ,364 ,49 ,176 ,80 ,26 ,17 
2012,1108 ,484 ,356 ,45 ,149 ,80 ,27 ,14 
2013,1127 ,473 ,394 ,50 ,135 ,78 ,32 ,10 
2014,1151 ,481 ,383 ,46 ,126 ,85 ,28 ,9 
2015,1158 ,488 ,381 ,41 ,120 ,96 ,29 ,13
